date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2021-03-08,390.8613124291918,3.881890996114202e-07,16.919339106613695,0.6067405923438469,39821.22300709561,142.21539867323406,0.031351573298050266,1741.6706154879,6002.932472636361,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-09,390.8623956980508,3.8819346548888286e-07,16.91936593326352,0.606741013589071,39831.2419635121,142.21830356837788,0.03137172794661135,1741.6708933257758,6004.399246373005,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-10,710.5364050782291,3.88197191290715e-07,16.919390607982027,0.6067413597849339,39841.26344472344,142.2186171569084,0.031396474623834346,1741.6711691419794,6005.8663785053495,10002.441000023295,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-11,710.5383753241989,3.882006920384776e-07,16.91941116570794,0.6067416675062256,39851.28745136694,142.23899032805494,0.031423210433348114,1741.6714460835035,6007.333869120967,10004.882595894702,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-12,710.5395056599314,3.882042382113918e-07,19.9194542835346,0.6067419776914182,39861.31398408005,142.24733134765452,0.03143091966650152,1741.6716694498423,13010.527661112663,10007.324787759666,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-13,710.539580568723,3.882077550173415e-07,19.919544924267868,0.6067422839212616,39871.343043500405,142.24744899198828,0.03143154831484588,1741.6718995078,13013.722237316917,10009.76757576367,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-14,710.5396194125329,3.882111015951831e-07,19.919825049695685,0.606742573354595,39881.37463026578,142.24759494314202,0.03143203858849357,1741.6721306502823,13016.917597926295,10012.210960052233,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-15,710.5396360691259,3.882143245955548e-07,19.920169355373442,0.6067428534507312,39891.40874501413,142.24774380103793,0.031432453214140975,1741.6723603546836,13020.113743133403,10014.654940770906,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-16,710.5396526579514,3.882175290937397e-07,19.92048021209918,0.6067431305801233,39901.44538838355,142.24778039339188,0.03143251165898671,1741.677452523495,13023.3106731309,10017.099518065279,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-17,710.5396695652959,3.8822077136421396e-07,19.920784238519833,0.6067434096056914,39911.48456101232,142.2478101331714,0.03143260321609407,1741.6825447071944,13026.508388111488,10019.544692080974,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-18,710.5396866611773,3.882241808725146e-07,19.92108282005697,0.6067436897269592,39921.526263538864,142.24784290414553,0.03143272378558675,1741.6827739314192,13029.706888267918,10021.990462963651,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-19,710.5397032012106,3.8822767186953925e-07,19.921375917044713,0.606743974665432,39931.57049660178,142.24787627306478,0.03143285616904108,1741.6829956839656,13032.906173792988,10024.436830859007,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-20,710.5397187934402,3.882325566784615e-07,19.921638409166583,0.6067444342046338,39941.61726083981,142.24799807397005,0.031433423822926,1741.6831939812237,13036.106244879544,10026.883795912772,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-21,710.5397305799881,3.882469938574541e-07,19.92179323183139,0.6067465457008765,39951.66655689188,142.2480434472358,0.0314344344190538,1741.6833916341689,13039.307101720478,10029.331358270712,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-22,710.5397419594417,3.882659197810791e-07,19.92189652447585,0.6067501183935756,39961.718385397064,142.24808380192053,0.03144288226387995,1741.68358252857,13042.508744508732,10031.77951807863,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-23,710.539752858572,3.882845217447811e-07,19.922033940168586,0.6067535310539636,39971.77274699459,142.24812197812295,0.031443286955711,1741.6837906737449,13045.711173437292,10034.228275482363,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-24,710.5397634637447,3.8830156485637753e-07,19.92221670684096,0.19149043966868093,19993.970782323864,142.248162523155,0.031443810522235424,1741.6840044943958,13048.914388699193,10036.677630627782,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-25,710.5397746242505,3.883156911825538e-07,19.922308706392187,0.1914910765160504,20004.03021202445,142.24820122232668,0.031445216795511766,1741.6867795713472,13052.11839048752,10039.1275836608,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-26,710.5397864361236,3.883322908739349e-07,19.922407077539123,0.1914919580223222,20014.092176736063,142.24823918823793,0.031446498216925016,1741.689190020937,13055.323178995399,10041.578134727359,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-27,710.539798558904,3.88349854222888e-07,19.922487449831863,0.41596996409106635,20024.156677098596,142.24827364371825,0.03144798951982145,1741.6895168869962,13058.52875441601,10044.029283973437,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-28,710.5398106601331,3.8836832503738887e-07,19.922550830740803,0.4159722655401109,20034.22371375209,142.24829481869898,0.0314502671952512,1741.6898437227223,13061.735116942576,10046.481031545054,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-29,710.5398235287504,3.883842118391859e-07,19.922603748258748,0.4159739952940819,20044.293287336754,142.24831637945127,0.031452232786284666,1741.6901700417186,13064.94226676837,10048.933377588259,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-30,710.539836319051,3.8840082820017855e-07,19.922658661667626,0.4159758709319052,20054.365398492955,142.24833799203986,0.03145383089813763,1741.6904920661134,13068.150204086713,10051.386322249138,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-03-31,710.5398486393667,3.884138156374997e-07,19.92273260702428,0.415977044886011,20064.44004786123,142.24835011349487,0.031455388516919786,1741.6910498772243,13071.35892909097,10053.839865673814,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-01,710.539861581957,3.884253074721369e-07,19.92279545700573,0.41597798571793504,20074.51723608227,142.24836144172443,0.03145680977407026,1741.6916392055637,13074.568441974554,10056.294008008446,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-02,710.5398754457085,3.8843656349086134e-07,19.922874608355748,0.4159788869351498,20084.59696379693,142.24837343058692,0.03145821243756058,1741.6925734841143,13077.77874293093,10058.748749399228,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-03,710.5398890593891,3.8844701710110545e-07,19.922961714697053,0.41597967161257904,20094.679231646227,142.24838574144894,0.03145964313813684,1741.693526109972,13080.989832153607,10061.204089992389,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-04,710.5399021914998,3.884571072277142e-07,19.923077095407074,0.4159804053246488,20104.764040271344,142.24839308285175,0.03146106660555426,1741.6938113861952,13084.201709836141,10063.660029934194,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-05,710.5399128839088,3.884672209121428e-07,19.923192072892917,0.41598114299093947,20114.851390313623,142.2483985363042,0.03146247593993359,1741.694104725692,13087.414376172137,10066.116569370944,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-06,710.5399192304529,3.8847435568295457e-07,19.923315786137753,0.41598156208069353,20124.941282414566,142.2484040203689,0.031463813814205877,1741.6991969580777,13090.627831355248,10068.573708448977,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-07,710.53992624641,3.884799651466207e-07,19.923440633850237,0.4159818506288669,20135.03371721584,142.24844914260987,0.03146404502855652,1741.699499252292,13093.842075579174,10071.031447314665,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-04-08,710.5399334577979,3.8848418809392637e-07,19.923583283950872,0.4159820515550535,20145.12869535927,142.24862942957236,0.03146416482127992,1741.6998009565084,13097.05710903766,10073.489786114415,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
